"beschreibung","label","guildID","id","channelID"
ee,ee,"925729625580113951","4","962283475069702177"
e,e,"925729625580113951","4","962283475069702177"
g,g,"925729625580113951","6","962283475069702177"
gg,gg,"925729625580113951","6","962283475069702177"
BC,A,"843151244641435678","8","981947202228338778"
d,w,"843151244641435678","8","981947202228338778"
-,Warum,"768228694736371732","10","1009166280189804736"
-,test,"768228694736371732","10","1009166280189804736"
-,-,"768228694736371732","10","1009166280189804736"
:),wg,"768228694736371732","10","1009166280189804736"
-,Hey,"768228694736371732","10","1009166280189804736"
-,%,"768228694736371732","10","1009166280189804736"
wg,geht es dir gut,"768228694736371732","10","1009166280189804736"
ne,wie gehts?,"768228694736371732","17","1009166280189804736"
qzsjsnanjq,Wer ist debos,"999561154655440928","24","999747302904320051"
-,Bist du zufrieden mit GamingLounge?,"768228694736371732","25","1018124164223213569"
-,Geht es dir gut?,"768228694736371732","25","1018124164223213569"
Bsp: 15 Jahre alt,Wie Alt bist du?,"989961082833608795","27","992676177590358076"
Bsp: 3-4 Studen am Tag,Wie lange bist du täglich aktiv,"989961082833608795","27","992676177590358076"
"Bsp: Peyton, 15 Jahre alt",Dein Discord Username + Alter,"989961082833608795","27","992676177590358076"
Bsp: Moderator,Als was willst du dich bewerben?,"989961082833608795","27","992676177590358076"
Ich bin ein erfahrener Mod im … Server,Hast du Erfahrung?,"989961082833608795","27","992676177590358076"
Bitte beachte: Für die Ränge Owner und Co.-Owner kann man sich nicht bewerben.,"1. Für welchen Rang möchtest du dich bewerben?","683059539054297159","48","1020774378859925624"
"Sag uns, warum du genau zu uns ins Team möchtest :)","2. Warum möchtest du zu uns ins Team?","683059539054297159","48","1020774378859925624"
"Zum Beispiel über Discord, usw.","3. Wie dürfen wir dich kontaktieren?","683059539054297159","48","1020774378859925624"
"Hier kannst du uns sagen, was du z.B. gut kannst","4. Warum passt du zu uns?","683059539054297159","48","1020774378859925624"
Jetzt bist du gefragt,"5. Bitte erzähle uns etwas über dich.","683059539054297159","48","1020774378859925624"
"falls nein, dann einfach ein - oder ""nein"" schreiben :D","6. Möchtest du uns noch etwas mitteilen?","683059539054297159","48","1020774378859925624"
Bitte beachte: Für den Rang Owner oder Co.- Owner kannst du dich nicht bewerben.,"1. Für welchen Rang möchtest du dich bewerben?","683059539054297159","54","1020774378859925624"
Warum genau du?,"2. Warum möchtest du zu uns ins Team?","683059539054297159","54","1020774378859925624"
"z.B. über Discord, usw.","3. Wie dürfen wir dich kontaktieren?","683059539054297159","54","1020774378859925624"
"Deine Stärken, usw.","4. Warum passt du zu uns?","683059539054297159","54","1020774378859925624"
Jetzt bist du gefragt!,"5. Bitte erzähle uns etwas über dich.","683059539054297159","54","1020774378859925624"
"Wenn nicht, dann schreib in das Feld einfach nein :D","6. Möchtest du uns noch etwas mitteilen?","683059539054297159","54","1020774378859925624"
Info: Für den Rang Owner und Co.-Owner kannst du dich nicht bewerben.,"1. Für welchen Rang möchtest du dich bewerben?","683059539054297159","60","684514850508111975"
Erzähle uns bitte etwas über dich.,"2. Warum möchtest du zu uns ins Team?","683059539054297159","60","684514850508111975"
"z.B. Discord, usw.","3. Wie dürfen wir dich kontaktieren?","683059539054297159","60","684514850508111975"
"Falls nicht, schreib einfach ""nein""","4. Möchtest du uns noch etwas mitteilen?","683059539054297159","60","684514850508111975"
z.B. Supporter,"1. Für welchen Rang möchtest du dich bewerben?","683059539054297159","70","684514850508111975"
"deine Stärken, usw.","2. Warum möchtest du zu uns ins Team und warum passt du zu uns?","683059539054297159","70","684514850508111975"
z.B. Discord,"3. Wie dürfen wir dich kontaktieren?","683059539054297159","70","684514850508111975"
warum du?,"4. Bitte erähle uns etwas über dich.","683059539054297159","70","684514850508111975"
z.B. Supporter,"1. Für welchen Rang möchtest du dich bewerben?","683059539054297159","74","684514850508111975"
Erzähle uns bitte etwas über dich.,"2. Warum möchtest du zu uns ins Team und warum passt du zu uns?","683059539054297159","74","684514850508111975"
z.B. über Discord,"3. Wie dürfen wir dich kontaktieren?","683059539054297159","74","684514850508111975"
ip ip ip,turi,"925729625580113951","77","962283475069702177"
z.B. Supporter,"1. Für welchen Rang möchtest du dich bewerben?","683059539054297159","78","1021018580118155305"
Erzähle uns bitte etwas über dich.,"2. Warum möchtest du zu uns ins Team und warum passt du zu uns?","683059539054297159","78","1021018580118155305"
"z.B. Discord, usw.","3. Wie dürfen wir dich kontaktieren?","683059539054297159","78","1021018580118155305"
"Falls nicht, dann schreib einfach ""nein""","4. Möchtest du uns noch etwas mitteilen?","683059539054297159","78","1021018580118155305"
z.B. Supporter,"1. Für welchen Rang möchtest du dich bewerben?","683059539054297159","82","1021018580118155305"
Erzähle bitte etwas über dich.,"2. Warum möchtest du zu uns ins Team?","683059539054297159","82","1021018580118155305"
z.B. Discord,"3. Wie dürfen wir dich kontaktieren?","683059539054297159","82","1021018580118155305"
z.B. Supporter,"1. Für welchen Rang möchtest du dich bewerben?","683059539054297159","85","1021018580118155305"
Erzähle uns etwas über dich.,"2. Warum möchtest du zu uns ins Team?","683059539054297159","85","1021018580118155305"
z.B. Discord,"3. Wie dürfen wir dich kontaktieren?","683059539054297159","85","1021018580118155305"
test,test,"683059539054297159","88","1021018580118155305"
-,"2. test","683059539054297159","88","1021018580118155305"
-,"3. test","683059539054297159","88","1021018580118155305"
-,"4. Test","683059539054297159","88","1021018580118155305"
hey,wie gwhts dir,"1019243091267424287","92","1019330360670179419"
welches gane liebst du .,hey,"1019243091267424287","93","1019330360670179419"
wie gehts,hi,"1019243091267424287","94","1019330360670179419"
test,Test,"899746479625871441","114","973674973430448218"
Gebe einen Vorschlag oder Feedback!,Vorschläge/Feedback,"984083592110039120","117","984487239058870322"
